HE (EST),kWH
2017-05-03 12:00:00,2470.56
2017-05-03 12:15:00,2474.88
2017-05-03 12:30:00,2482.92
2017-05-03 12:45:00,2478.96
2017-05-03 13:00:00,2471.4
2017-05-03 13:15:00,2466.36
2017-05-03 13:30:00,2479.68
2017-05-03 13:45:00,2490.12
2017-05-03 14:00:00,2502.6
2017-05-03 14:15:00,2479.32
2017-05-03 14:30:00,2498.04
2017-05-03 14:45:00,2470.8
2017-05-03 15:00:00,2479.92
2017-05-03 15:15:00,2487.84
2017-05-03 15:30:00,2493.24
2017-05-03 15:45:00,2481.36
2017-05-03 16:00:00,2484.96
2017-05-03 16:15:00,2486.76
2017-05-03 16:30:00,2482.56
2017-05-03 16:45:00,2487.84
2017-05-03 17:00:00,2478.48
2017-05-03 17:15:00,2492.52
2017-05-03 17:30:00,2484.96
2017-05-03 17:45:00,2512.32
2017-05-03 18:00:00,2514.36
2017-05-03 18:15:00,2502.24
2017-05-03 18:30:00,2484.72
2017-05-03 18:45:00,2494.8
2017-05-03 19:00:00,2498.28
2017-05-03 19:15:00,2510.16
2017-05-03 19:30:00,2518.44
2017-05-03 19:45:00,2511.72
2017-05-03 20:00:00,2444.64
2017-05-03 20:15:00,2421.12
2017-05-03 20:30:00,2414.04
2017-05-03 20:45:00,2406.48
2017-05-03 21:00:00,2396.64
2017-05-03 21:15:00,2400.24
2017-05-03 21:30:00,2403.72
2017-05-03 21:45:00,2415.48
2017-05-03 22:00:00,2411.4
2017-05-03 22:15:00,2421.48
2017-05-03 22:30:00,2405.4
2017-05-03 22:45:00,2405.52
2017-05-03 23:00:00,2426.04
2017-05-03 23:15:00,2651.4
2017-05-03 23:30:00,2676.36
2017-05-03 23:45:00,2804.04
2017-05-04 00:00:00,2816.4
2017-05-04 00:15:00,2820.12
2017-05-04 00:30:00,2830.08
2017-05-04 00:45:00,2826.96
2017-05-04 01:00:00,2815.44
2017-05-04 01:15:00,2785.44
2017-05-04 01:30:00,2763.36
2017-05-04 01:45:00,2754.6
2017-05-04 02:00:00,2744.16
2017-05-04 02:15:00,2729.52
2017-05-04 02:30:00,2713.44
2017-05-04 02:45:00,2707.56
2017-05-04 03:00:00,2689.32
2017-05-04 03:15:00,2674.56
2017-05-04 03:30:00,2669.16
2017-05-04 03:45:00,2667.6
2017-05-04 04:00:00,2658.72
2017-05-04 04:15:00,2673.72
2017-05-04 04:30:00,2670.84
2017-05-04 04:45:00,2034.24
2017-05-04 05:00:00,2134.32
2017-05-04 05:15:00,2231.04
2017-05-04 05:30:00,2258.16
2017-05-04 05:45:00,2285.04
2017-05-04 06:00:00,2313.48
2017-05-04 06:15:00,2339.16
2017-05-04 06:30:00,2350.92
2017-05-04 06:45:00,2375.28
2017-05-04 07:00:00,2391.6
2017-05-04 07:15:00,2470.92
2017-05-04 07:30:00,2486.28
2017-05-04 07:45:00,2485.92
2017-05-04 08:00:00,2488.32
2017-05-04 08:15:00,2479.2
2017-05-04 08:30:00,2479.08
2017-05-04 08:45:00,2475.48
2017-05-04 09:00:00,2479.44
